Date,Temperature,W_speed,W_direction,Humidity
20140101,4,3.7,12,51.3
20140102,1.5,2,13,35.4
20140103,2.3,2.5,2,54.4
20140104,-0.1,2.4,12,47.1
20140105,-0.8,1.9,12,48.4
20140106,0.8,1.6,2,50.4
20140107,3,1.7,1,56
20140108,0.5,3.3,13,56.6
20140109,-7.8,3.6,13,26.3
20140110,-4.7,2,12,48.6
20140111,-1.7,1.9,13,44.1
20140112,-2.4,3.4,14,43.5
20140113,-6.2,2.9,13,26
20140114,-4.3,2.2,12,33.8
20140115,-2.9,1.7,12,42
20140116,0.1,1.9,2,59.9
20140117,-0.1,1.6,12,55.9
20140118,-2.2,3.1,13,42.4
20140119,-2.6,1.9,1,44.8
20140120,-1.5,3.2,3,83.3
20140121,-5.5,2.4,13,62.6
20140122,-3.9,1.6,13,60
20140123,-0.8,2.1,2,65.6
20140124,3,2.6,2,64.4
20140125,4.2,2.4,13,74.4
20140126,-2.1,2.7,13,42.1
20140127,0.2,2.6,2,48
20140128,1.5,2.9,13,52.8
20140129,2.2,2.2,2,40.1
20140130,4,3,12,66.1
20140131,1.3,2.2,3,26.1
20140201,4.9,3.4,3,63.8
20140202,4.9,2,12,91.6
20140203,-3.5,4.3,14,38.5
20140204,-7.4,3.4,13,25.9
20140205,-4.8,2,12,27.5
20140206,-1.3,1.7,1,29.8
20140207,2.4,4.8,14,47.3
20140208,0.2,4.3,13,79.4
20140209,-1.6,2.7,13,76.5
20140210,-0.1,2.5,3,55
20140211,0.2,3.2,3,42.1
20140212,1.2,2.5,3,49.3
20140213,1.9,2.2,3,46.1
20140214,2.7,3.1,3,47.3
20140215,2.7,2.7,2,54.6
20140216,2.8,1.7,2,53.3
20140217,4.2,2,2,45.5
20140218,2.5,3.5,2,45.9
20140219,2.1,2.6,2,48.6
20140220,1.2,2.8,12,61.5
20140221,0.9,2.6,12,49.1
20140222,2.2,2.1,13,49.3
20140223,3.1,2.1,13,50.6
20140224,4.1,2.3,13,58
20140225,5.7,2,12,59.9
20140226,8.4,1.9,2,44.9
20140227,7.7,2.8,12,55.4
20140228,6.7,2.3,3,58.8
20140301,6,2.6,12,61.1
20140302,4.5,3,13,46.4
20140303,5.2,2,13,34.4
20140304,6.3,2.9,12,48
20140305,1.4,4.4,13,44.8
20140306,0.3,3.6,13,43.4
20140307,-0.6,3.8,12,45.9
20140308,2,2.5,12,55
20140309,1.4,3.6,13,56.4
20140310,1.5,3,12,50.4
20140311,4.5,2.8,11,65
20140312,6.9,1.5,1,75.8
20140313,5.2,4,3,54.5
20140314,3.4,3.6,12,54.6
20140315,6.8,4,10,66.8
20140316,11.3,2.3,10,68.3
20140317,12.6,3.5,10,79
20140318,10.5,3.5,12,75.3
20140319,9.6,2.9,3,65.5
20140320,6.3,3.2,13,71.3
20140321,5.9,3.4,12,52.5
20140322,8.6,2.5,11,63.5
20140323,9.6,3,11,63.6
20140324,10.9,3.5,10,60.5
20140325,14.6,2.7,10,75.9
20140326,15.4,2.8,11,64.6
20140327,13.5,2.8,11,68.9
20140328,16.6,2.6,11,57.3
20140329,15,2.5,3,73.4
20140330,14.9,3.1,3,63.5
20140331,14.5,2.3,12,49.3
20140401,15.6,2.4,11,33.8
20140402,15.5,2.7,12,30
20140403,10.2,3.1,12,63
20140404,6.6,3.4,13,52.6
20140405,6.2,3,12,60.5
20140406,7.4,4,11,50.6
20140407,10.3,3.4,10,64.9
20140408,11.9,2.6,12,60.9
20140409,10.3,3,12,85.3
20140410,12.5,2.4,11,71.5
20140411,13.6,2.8,12,69.5
20140412,14.3,1.7,13,68.8
20140413,17.2,2.2,3,54.9
20140414,16.3,2.7,12,53.3
20140415,12.9,3.2,12,80.1
20140416,14,1.8,10,81
20140417,14.7,1.9,2,67.4
20140418,15.9,2.6,2,59.9
20140419,14,4.5,3,56
20140420,14.6,3.4,3,54.4
20140421,15.1,3,13,55.1
20140422,16,2.8,12,43.1
20140423,17.2,2.5,13,49.4
20140424,18.6,2,12,49
20140425,19,2.2,2,32.5
20140426,18.7,2.4,12,38.9
20140427,15.6,2.3,2,86.6
20140428,13.6,4.6,3,91.6
20140429,15,4,2,69.5
20140430,16.1,2.1,2,62.1
20140501,16,3.2,11,60.5
20140502,15.7,3.6,10,70.9
20140503,13.1,3.9,12,54.6
20140504,12.3,3.8,10,57.8
20140505,11.3,5.1,11,56.5
20140506,13.1,3.4,10,45.9
20140507,15.7,3.8,2,48.3
20140508,14.5,4.2,11,83.9
20140509,16.8,2,12,60.8
20140510,20.5,2.1,3,43.4
20140511,18.9,3.4,3,54.4
20140512,16.4,5.2,10,79.1
20140513,19.2,4,11,69.9
20140514,19.6,3.5,12,59.1
20140515,18.2,4,12,66.9
20140516,19,2.9,12,50.3
20140517,20,2.3,13,48
20140518,20.3,2.4,11,50.1
20140519,20,2.3,12,55.1
20140520,21.5,2.2,12,45.4
20140521,20.1,3.7,12,65.3
20140522,20.9,2.5,12,63.4
20140523,22,2.9,10,68.4
20140524,21.3,2.3,12,68.8
20140525,20.5,2.4,7,78.9
20140526,19.4,4,11,67.4
20140527,22.8,4.2,10,49.5
20140528,24,2.5,12,60.8
20140529,23.2,2.8,11,54.6
20140530,24.8,2.1,13,42.5
20140531,26.2,2.6,11,50.3
20140601,24.7,1.9,12,58.1
20140602,22.6,2.2,3,73.5
20140603,18.7,3.5,3,95.3
20140604,22.8,4.3,3,61.5
20140605,22.9,2.9,3,58.8
20140606,24.4,2.4,2,58.9
20140607,23.5,2.4,12,65.1
20140608,21.4,3,11,75.3
20140609,22.9,2.3,13,70.8
20140610,23.6,2.1,3,72
20140611,20.5,1.9,1,87.1
20140612,21.2,2.8,2,73.9
20140613,21.3,2.9,10,79
20140614,22.5,3.3,12,71.6
20140615,23.2,3.3,12,69.9
20140616,23.9,2.5,12,66.4
20140617,24.5,1.9,11,71.8
20140618,24.4,3,12,71.3
20140619,22.5,3.5,11,79.3
20140620,24.2,1.6,13,76.5
20140621,23.1,2.7,3,80.9
20140622,23.7,1.8,2,74.4
20140623,21,1.4,2,91.4
20140624,22.9,2.4,11,74.6
20140625,23.8,2.3,12,74.1
20140626,24.4,2.4,12,68
20140627,24.1,2.8,12,74.8
20140628,23.8,3.8,12,71.6
20140629,24.1,2.1,9,70.3
20140630,25.3,2.7,12,68
20140701,26,2.1,12,67.8
20140702,25.7,2.5,13,77.3
20140703,22.6,2.8,2,85.5
20140704,26.8,2.4,3,62.1
20140705,25.7,2.1,12,70.4
20140706,25.7,2.1,6,65.8
20140707,27.1,2.3,12,61.4
20140708,25.9,1.9,12,73
20140709,27.6,2.2,3,78.3
20140710,28.9,2.9,13,57.9
20140711,27.1,4,11,63.4
20140712,25.3,3.2,10,74.3
20140713,25.4,3.3,11,73.4
20140714,26.4,3.3,11,70.8
20140715,26.8,2.4,10,69.4
20140716,26.6,2.7,12,68.4
20140717,25.9,3.1,11,75.9
20140718,26.1,2.6,10,80.5
20140719,27,2.4,12,79.8
20140720,27.9,2.6,12,75.8
20140721,27.3,3,10,73.9
20140722,25.9,4.4,10,83.9
20140723,23.6,3.2,10,90
20140724,21.9,2,3,92.8
20140725,27.5,2.9,7,81.9
20140726,22.6,6.4,10,86.1
20140727,25,1.9,9,75
20140728,26.6,1.9,2,71.6
20140729,26.5,2.5,8,68.4
20140730,28.6,2.2,10,70.6
20140731,28.6,2.1,2,75.9
20140801,30.2,2.6,3,63.4
20140802,31.4,3.9,3,55
20140803,26.5,4.2,3,87.6
20140804,26.4,2.1,2,93
20140805,26.6,3.2,10,87.5
20140806,24.4,2.2,12,92.4
20140807,24.7,1.5,12,91.1
20140808,26.1,3.8,3,62.3
20140809,26.5,4.6,3,48.4
20140810,23.4,2.6,2,79.4
20140811,23.7,2.2,12,78.4
20140812,25.8,2.7,12,77.8
20140813,24.2,2.1,2,75.3
20140814,22.3,2,2,78.6
20140815,24.9,1.7,12,72.9
20140816,26.1,1.8,13,73.9
20140817,24,1.9,2,81.1
20140818,22.3,3.1,3,90
20140819,22.3,1.5,3,96.6
20140820,24.8,1.1,1,86
20140821,23.1,2.4,2,96.5
20140822,24.7,3.1,11,83.4
20140823,25.2,2.7,10,79.5
