Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2014-01-01,4.0,3.7,12,51.3,136,116,125
2014-01-02,1.5,2.0,13,35.4,216,80,56
2014-01-03,2.3,2.5,2,54.4,102,67,59
2014-01-04,-0.1,2.4,12,47.1,74,30,51
2014-01-05,-0.8,1.9,12,48.4,114,77,45
2014-01-06,0.8,1.6,2,50.4,114,130,69
2014-01-07,3.0,1.7,1,56.0,113,98,85
2014-01-08,0.5,3.3,13,56.6,55,40,71
2014-01-09,-7.8,3.6,13,26.3,74,50,22
2014-01-10,-4.7,2.0,12,48.6,168,75,35
2014-01-11,-1.7,1.9,13,44.1,391,129,52
2014-01-12,-2.4,3.4,14,43.5,70,75,63
2014-01-13,-6.2,2.9,13,26.0,109,46,34
2014-01-14,-4.3,2.2,12,33.8,154,67,46
2014-01-15,-2.9,1.7,12,42.0,332,142,56
2014-01-16,0.1,1.9,2,59.9,221,145,110
2014-01-17,-0.1,1.6,12,55.9,126,122,120
2014-01-18,-2.2,3.1,13,42.4,222,68,64
2014-01-19,-2.6,1.9,1,44.8,239,66,50
2014-01-20,-1.5,3.2,3,83.3,73,113,66
2014-01-21,-5.5,2.4,13,62.6,47,32,115
2014-01-22,-3.9,1.6,13,60.0,124,57,95
2014-01-23,-0.8,2.1,2,65.6,142,71,57
2014-01-24,3.0,2.6,2,64.4,201,64,62
2014-01-25,4.2,2.4,13,74.4,106,66,49
2014-01-26,-2.1,2.7,13,42.1,67,44,38
2014-01-27,0.2,2.6,2,48.0,156,31,41
2014-01-28,1.5,2.9,13,52.8,91,49,32
2014-01-29,2.2,2.2,2,40.1,133,44,40
2014-01-30,4.0,3.0,12,66.1,155,84,31
2014-01-31,1.3,2.2,3,26.1,210,65,23
2014-02-01,4.9,3.4,3,63.8,67,45,24
2014-02-02,4.9,2.0,12,91.6,109,58,21
2014-02-03,-3.5,4.3,14,38.5,56,50,70
2014-02-04,-7.4,3.4,13,25.9,58,37,44
2014-02-05,-4.8,2.0,12,27.5,66,24,47
2014-02-06,-1.3,1.7,1,29.8,72,35,46
2014-02-07,2.4,4.8,12,47.3,69,45,15
2014-02-08,0.2,4.3,13,79.4,75,50,12
2014-02-09,-1.6,2.7,13,76.5,25,48,22
2014-02-10,-0.1,2.5,3,55.0,59,39,24
2014-02-11,0.2,3.2,3,42.1,79,48,18
2014-02-12,1.2,2.5,3,49.3,155,77,22
2014-02-13,1.9,2.2,3,46.1,106,57,23
2014-02-14,2.7,3.1,3,47.3,249,58,18
2014-02-15,2.7,2.7,2,54.6,206,76,30
2014-02-16,2.8,1.7,2,53.3,180,75,58
2014-02-17,4.2,2.0,2,45.5,74,51,82
2014-02-18,2.5,3.5,2,45.9,75,43,23
2014-02-19,2.1,2.6,2,48.6,85,70,31
2014-02-20,1.2,2.8,12,61.5,106,60,65
2014-02-21,0.9,2.6,12,49.1,206,77,65
2014-02-22,2.2,2.1,13,49.3,192,146,97
2014-02-23,3.1,2.1,13,50.6,134,99,107
2014-02-24,4.1,2.3,13,58.0,281,103,164
2014-02-25,5.7,2.0,12,59.9,291,104,179
2014-02-26,8.4,1.9,2,44.9,248,125,132
2014-02-27,7.7,2.8,12,55.4,53,74,116
2014-02-28,6.7,2.3,3,58.8,68,53,115
2014-03-01,6.0,2.6,12,61.1,96,64,94
2014-03-02,4.5,3.0,13,46.4,197,72,35
2014-03-03,5.2,2.0,13,34.4,167,82,60
2014-03-04,6.3,2.9,12,48.0,99,74,86
