Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
20140101,4,3.7,270,51.3,136,116,125
20140102,1.5,2,290,35.4,216,80,56
20140103,2.3,2.5,50,54.4,102,67,59
20140104,-0.1,2.4,270,47.1,74,30,51
20140105,-0.8,1.9,270,48.4,114,77,45
20140106,0.8,1.6,50,50.4,114,130,69
20140107,3,1.7,20,56,113,98,85
20140108,0.5,3.3,290,56.6,55,40,71
20140109,-7.8,3.6,290,26.3,74,50,22
20140110,-4.7,2,270,48.6,168,75,35
20140111,-1.7,1.9,290,44.1,391,129,52
20140112,-2.4,3.4,320,43.5,70,75,63
20140113,-6.2,2.9,290,26,109,46,34
20140114,-4.3,2.2,270,33.8,154,67,46
20140115,-2.9,1.7,270,42,332,142,56
20140116,0.1,1.9,50,59.9,221,145,110
20140117,-0.1,1.6,270,55.9,126,122,120
20140118,-2.2,3.1,290,42.4,222,68,64
20140119,-2.6,1.9,20,44.8,239,66,50
20140120,-1.5,3.2,70,83.3,73,113,66
20140121,-5.5,2.4,290,62.6,47,32,115
20140122,-3.9,1.6,290,60,124,57,95
20140123,-0.8,2.1,50,65.6,142,71,57
20140124,3,2.6,50,64.4,201,64,62
20140125,4.2,2.4,290,74.4,106,66,49
20140126,-2.1,2.7,290,42.1,67,44,38
20140127,0.2,2.6,50,48,156,31,41
20140128,1.5,2.9,290,52.8,91,49,32
20140129,2.2,2.2,50,40.1,133,44,40
20140130,4,3,270,66.1,155,84,31
20140131,1.3,2.2,70,26.1,210,65,23
20140201,4.9,3.4,70,63.8,67,45,24
20140202,4.9,2,270,91.6,109,58,21
20140203,-3.5,4.3,320,38.5,56,50,70
20140204,-7.4,3.4,290,25.9,58,37,44
20140205,-4.8,2,270,27.5,66,24,47
20140206,-1.3,1.7,20,29.8,72,35,46
20140207,2.4,4.8,270,47.3,69,45,15
20140208,0.2,4.3,290,79.4,75,50,12
20140209,-1.6,2.7,290,76.5,25,48,22
20140210,-0.1,2.5,70,55,59,39,24
20140211,0.2,3.2,70,42.1,79,48,18
20140212,1.2,2.5,70,49.3,155,77,22
20140213,1.9,2.2,70,46.1,106,57,23
20140214,2.7,3.1,70,47.3,249,58,18
20140215,2.7,2.7,50,54.6,206,76,30
20140216,2.8,1.7,50,53.3,180,75,58
20140217,4.2,2,50,45.5,74,51,82
20140218,2.5,3.5,50,45.9,75,43,23
20140219,2.1,2.6,50,48.6,85,70,31
20140220,1.2,2.8,270,61.5,106,60,65
20140221,0.9,2.6,270,49.1,206,77,65
20140222,2.2,2.1,290,49.3,192,146,97
20140223,3.1,2.1,290,50.6,134,99,107
20140224,4.1,2.3,290,58,281,103,164
20140225,5.7,2,270,59.9,291,104,179
20140226,8.4,1.9,50,44.9,248,125,132
20140227,7.7,2.8,270,55.4,53,74,116
20140228,6.7,2.3,70,58.8,68,53,115
20140301,6,2.6,270,61.1,96,64,94
20140302,4.5,3,290,46.4,197,72,35
20140303,5.2,2,290,34.4,167,82,60
20140304,6.3,2.9,270,48,99,74,86
20140305,1.4,4.4,290,44.8,86,45,61
20140306,0.3,3.6,290,43.4,64,55,36
20140307,-0.6,3.8,270,45.9,95,47,34
20140308,2,2.5,270,55,173,78,45
20140309,1.4,3.6,290,56.4,103,63,40
20140310,1.5,3,270,50.4,160,47,42
20140311,4.5,2.8,250,65,239,83,52
20140312,6.9,1.5,20,75.8,87,66,40
20140313,5.2,4,70,54.5,74,61,45
20140314,3.4,3.6,270,54.6,85,67,63
20140315,6.8,4,230,66.8,207,118,102
20140316,11.3,2.3,230,68.3,163,116,100
20140317,12.6,3.5,230,79,264,116,63
20140318,10.5,3.5,270,75.3,207,135,141
20140319,9.6,2.9,70,65.5,91,84,131
20140320,6.3,3.2,290,71.3,59,85,70
20140321,5.9,3.4,270,52.5,98,75,33
20140322,8.6,2.5,250,63.5,197,94,60
20140323,9.6,3,250,63.6,182,111,83
20140324,10.9,3.5,230,60.5,128,55,54
20140325,14.6,2.7,230,75.9,158,74,58
20140326,15.4,2.8,250,64.6,180,97,67
20140327,13.5,2.8,250,68.9,183,149,93
20140328,16.6,2.6,250,57.3,216,68,115
20140329,15,2.5,70,73.4,123,57,51
20140330,14.9,3.1,70,63.5,122,119,39
20140331,14.5,2.3,270,49.3,184,138,70
20140401,15.6,2.4,250,33.8,119,68,77
20140402,15.5,2.7,270,30,148,79,66
20140403,10.2,3.1,270,63,125,84,60
20140404,6.6,3.4,290,52.6,135,78,29
20140405,6.2,3,270,60.5,119,63,45
20140406,7.4,4,250,50.6,129,86,44
20140407,10.3,3.4,230,64.9,125,87,70
20140408,11.9,2.6,270,60.9,160,65,51
20140409,10.3,3,270,85.3,192,71,69
20140410,12.5,2.4,250,71.5,257,67,63
20140411,13.6,2.8,270,69.5,103,77,69
20140412,14.3,1.7,290,68.8,138,70,77
20140413,17.2,2.2,70,54.9,153,77,75
20140414,16.3,2.7,270,53.3,138,103,71
20140415,12.9,3.2,270,80.1,116,115,79
20140416,14,1.8,230,81,129,92,158
20140417,14.7,1.9,50,67.4,126,50,92
20140418,15.9,2.6,50,59.9,86,61,64
20140419,14,4.5,70,56,87,79,47
20140420,14.6,3.4,70,54.4,86,90,42
20140421,15.1,3,290,55.1,135,84,56
20140422,16,2.8,270,43.1,118,94,60
20140423,17.2,2.5,290,49.4,106,110,92
20140424,18.6,2,270,49,91,65,114
20140425,19,2.2,50,32.5,105,64,67
20140426,18.7,2.4,270,38.9,62,58,54
20140427,15.6,2.3,50,86.6,86,27,26
20140428,13.6,4.6,70,91.6,76,41,13
20140429,15,4,50,69.5,92,60,18
20140430,16.1,2.1,50,62.1,86,68,28
20140501,16,3.2,250,60.5,106,81,56
20140502,15.7,3.6,230,70.9,60,77,83
20140503,13.1,3.9,270,54.6,100,56,30
20140504,12.3,3.8,230,57.8,88,65,45
20140505,11.3,5.1,250,56.5,72,54,42
20140506,13.1,3.4,230,45.9,90,79,45
20140507,15.7,3.8,50,48.3,101,70,49
20140508,14.5,4.2,250,83.9,75,57,34
20140509,16.8,2,270,60.8,84,67,47
20140510,20.5,2.1,70,43.4,65,54,41
20140511,18.9,3.4,70,54.4,21,38,34
20140512,16.4,5.2,230,79.1,47,54,43
20140513,19.2,4,250,69.9,87,70,94
20140514,19.6,3.5,270,59.1,64,83,80
20140515,18.2,4,270,66.9,110,75,53
20140516,19,2.9,270,50.3,113,102,56
20140517,20,2.3,290,48,71,73,61
20140518,20.3,2.4,250,50.1,82,61,53
20140519,20,2.3,270,55.1,116,65,61
20140520,21.5,2.2,270,45.4,107,63,75
20140521,20.1,3.7,270,65.3,125,78,60
20140522,20.9,2.5,270,63.4,109,116,53
20140523,22,2.9,230,68.4,103,99,73
20140524,21.3,2.3,270,68.8,77,46,68
20140525,20.5,2.4,160,78.9,102,45,49
20140526,19.4,4,250,67.4,69,107,89
20140527,22.8,4.2,230,49.5,121,127,170
20140528,24,2.5,270,60.8,64,75,184
20140529,23.2,2.8,250,54.6,84,82,135
20140530,24.8,2.1,290,42.5,128,195,79
20140531,26.2,2.6,250,50.3,136,133,117
20140601,24.7,1.9,270,58.1,82,89,93
20140602,22.6,2.2,70,73.5,50,54,85
20140603,18.7,3.5,70,95.3,62,41,25
20140604,22.8,4.3,70,61.5,81,40,21
20140605,22.9,2.9,70,58.8,71,55,18
20140606,24.4,2.4,50,58.9,99,65,28
20140607,23.5,2.4,270,65.1,37,40,37
20140608,21.4,3,250,75.3,80,38,32
20140609,22.9,2.3,290,70.8,72,52,42
20140610,23.6,2.1,70,72,73,50,35
20140611,20.5,1.9,20,87.1,75,52,38
20140612,21.2,2.8,50,73.9,77,58,42
20140613,21.3,2.9,230,79,80,45,53
20140614,22.5,3.3,270,71.6,57,54,41
20140615,23.2,3.3,270,69.9,101,74,42
20140616,23.9,2.5,270,66.4,96,100,39
20140617,24.5,1.9,250,71.8,89,98,77
20140618,24.4,3,270,71.3,105,59,60
20140619,22.5,3.5,250,79.3,85,63,50
20140620,24.2,1.6,290,76.5,60,51,52
20140621,23.1,2.7,70,80.9,58,53,23
20140622,23.7,1.8,50,74.4,66,59,22
20140623,21,1.4,50,91.4,50,65,30
20140624,22.9,2.4,250,74.6,73,59,37
20140625,23.8,2.3,270,74.1,92,61,52
20140626,24.4,2.4,270,68,98,62,45
20140627,24.1,2.8,270,74.8,50,51,34
20140628,23.8,3.8,270,71.6,62,58,38
20140629,24.1,2.1,200,70.3,104,43,33
20140630,25.3,2.7,270,68,87,57,37
20140701,26,2.1,270,67.8,105,95,44
20140702,25.7,2.5,290,77.3,72,79,78
20140703,22.6,2.8,50,85.5,102,63,22
20140704,26.8,2.4,70,62.1,108,72,19
20140705,25.7,2.1,270,70.4,96,48,32
20140706,25.7,2.1,140,65.8,87,37,26
20140707,27.1,2.3,270,61.4,80,47,38
20140708,25.9,1.9,270,73,100,42,29
20140709,27.6,2.2,70,78.3,66,43,22
20140710,28.9,2.9,290,57.9,69,71,35
20140711,27.1,4,250,63.4,107,78,63
20140712,25.3,3.2,230,74.3,96,74,77
20140713,25.4,3.3,250,73.4,75,79,56
20140714,26.4,3.3,250,70.8,92,85,81
20140715,26.8,2.4,230,69.4,64,82,91
20140716,26.6,2.7,270,68.4,85,70,51
