Date,Seoul
20140101,125
20140102,56
20140103,59
20140104,51
20140105,45
20140106,69
20140107,85
20140108,71
20140109,22
20140110,35
20140111,52
20140112,63
20140113,34
20140114,46
20140115,56
20140116,110
20140117,120
20140118,64
20140119,50
20140120,66
20140121,115
20140122,95
20140123,57
20140124,62
20140125,49
20140126,38
20140127,41
20140128,32
20140129,40
20140130,31
20140131,23
20140201,24
20140202,21
20140203,70
20140204,44
20140205,47
20140206,46
20140207,15
20140208,12
20140209,22
20140210,24
20140211,18
20140212,22
20140213,23
20140214,18
20140215,30
20140216,58
20140217,82
20140218,23
20140219,31
20140220,65
20140221,65
20140222,97
20140223,107
20140224,164
20140225,179
20140226,132
20140227,116
20140228,115
20140301,94
20140302,35
20140303,60
20140304,86
20140305,61
20140306,36
20140307,34
20140308,45
20140309,40
20140310,42
20140311,52
20140312,40
20140313,45
20140314,63
20140315,102
20140316,100
20140317,63
20140318,141
20140319,131
20140320,70
20140321,33
20140322,60
20140323,83
20140324,54
20140325,58
20140326,67
20140327,93
20140328,115
20140329,51
20140330,39
20140331,70
20140401,77
20140402,66
20140403,60
20140404,29
20140405,45
20140406,44
20140407,70
20140408,51
20140409,69
20140410,63
20140411,69
20140412,77
20140413,75
20140414,71
20140415,79
20140416,158
20140417,92
20140418,64
20140419,47
20140420,42
20140421,56
20140422,60
20140423,92
20140424,114
20140425,67
20140426,54
20140427,26
20140428,13
20140429,18
20140430,28
20140501,56
20140502,83
20140503,30
20140504,45
20140505,42
20140506,45
20140507,49
20140508,34
20140509,47
20140510,41
20140511,34
20140512,43
20140513,94
20140514,80
20140515,53
20140516,56
20140517,61
20140518,53
20140519,61
20140520,75
20140521,60
20140522,53
20140523,73
20140524,68
20140525,49
20140526,89
20140527,170
20140528,184
20140529,135
20140530,79
20140531,117
20140601,93
20140602,85
20140603,25
20140604,21
20140605,18
20140606,28
20140607,37
20140608,32
20140609,42
20140610,35
20140611,38
20140612,42
20140613,53
20140614,41
20140615,42
20140616,39
20140617,77
20140618,60
20140619,50
20140620,52
20140621,23
20140622,22
20140623,30
20140624,37
20140625,52
20140626,45
20140627,34
20140628,38
20140629,33
20140630,37
20140701,44
20140702,78
20140703,22
20140704,19
20140705,32
20140706,26
20140707,38
20140708,29
20140709,22
20140710,35
20140711,63
20140712,77
20140713,56
20140714,81
20140715,91
20140716,51
20140717,23
20140718,18
20140719,46
20140720,58
20140721,52
20140722,19
20140723,19
20140724,12
20140725,17
20140726,36
20140727,81
20140728,61
20140729,40
20140730,28
20140731,27
20140801,17
20140802,14
20140803,10
